subj,item,bin,variable,fix
1,41,11,target,1
1,41,12,target,1
1,41,13,target,1
1,41,14,target,0
1,41,15,target,0
1,41,16,target,0
1,41,17,target,0
1,41,18,target,0
1,41,19,target,0
1,41,20,target,0
1,41,21,target,0
1,41,22,target,0
1,42,1,target,0
1,42,2,target,1
1,42,3,target,1
1,42,4,target,1
1,42,5,target,0
1,42,6,target,0
1,42,7,target,0
1,42,8,target,0
1,42,9,target,0
1,42,10,target,0
1,42,11,target,0
1,42,12,target,0
1,42,13,target,0
1,42,14,target,0
1,42,15,target,0
1,42,16,target,0
1,42,17,target,1
1,42,18,target,1
1,42,19,target,1
1,42,20,target,1
1,42,21,target,1
1,42,22,target,1
1,43,1,target,1
1,43,2,target,1
1,43,3,target,1
1,43,4,target,1
1,43,5,target,1
1,43,6,target,1
1,43,7,target,1
1,43,8,target,1
1,43,9,target,1
1,43,10,target,1
1,43,11,target,1
1,43,12,target,1
1,43,13,target,0
1,43,14,target,0
1,43,15,target,0
1,43,16,target,0
1,43,17,target,0
1,43,18,target,0
1,43,19,target,0
1,43,20,target,0
1,43,21,target,0
1,43,22,target,0
1,44,1,target,0
1,44,2,target,0
1,44,3,target,1
1,44,4,target,1
1,44,5,target,1
1,44,6,target,1
1,44,7,target,1
1,44,8,target,1
1,44,9,target,1
1,44,10,target,1
1,44,11,target,1
1,44,12,target,0
1,44,13,target,0
1,44,14,target,0
1,44,15,target,0
1,44,16,target,0
1,44,17,target,0
1,44,18,target,0
1,44,19,target,0
1,44,20,target,0
1,44,21,target,0
1,44,22,target,0
1,45,1,target,0
1,45,2,target,0
1,45,3,target,0
1,45,4,target,0
1,45,5,target,0
1,45,6,target,0
1,45,7,target,0
1,45,8,target,0
1,45,9,target,0
1,45,10,target,0
1,45,11,target,0
1,45,12,target,0
1,45,13,target,0
1,45,14,target,0
1,45,15,target,0
1,45,16,target,0
1,45,17,target,0
1,45,18,target,0
1,45,19,target,0
1,45,20,target,0
1,45,21,target,0
1,45,22,target,0
1,46,1,target,0
1,46,2,target,0
1,46,3,target,0
1,46,4,target,0
1,46,5,target,0
1,46,6,target,0
1,46,7,target,0
1,46,8,target,0
1,46,9,target,1
1,46,10,target,1
1,46,11,target,1
1,46,12,target,0
1,46,13,target,0
1,46,14,target,0
1,46,15,target,0
1,46,16,target,0
1,46,17,target,0
1,46,18,target,0
1,46,19,target,0
1,46,20,target,0
1,46,21,target,0
1,46,22,target,0
1,47,1,target,1
1,47,2,target,0
1,47,3,target,0
1,47,4,target,0
1,47,5,target,0
1,47,6,target,0
1,47,7,target,0
1,47,8,target,0
1,47,9,target,0
1,47,10,target,0
1,47,11,target,0
1,47,12,target,0
1,47,13,target,0
1,47,14,target,0
1,47,15,target,0
1,47,16,target,0
1,47,17,target,0
1,47,18,target,0
1,47,19,target,0
1,47,20,target,0
1,47,21,target,0
1,47,22,target,0
1,48,1,target,1
1,48,2,target,1
1,48,3,target,1
1,48,4,target,0
1,48,5,target,0
1,48,6,target,0
1,48,7,target,0
1,48,8,target,1
1,48,9,target,1
1,48,10,target,1
1,48,11,target,1
1,48,12,target,0
1,48,13,target,0
1,48,14,target,0
1,48,15,target,0
1,48,16,target,0
1,48,17,target,0
1,48,18,target,0
1,48,19,target,0
1,48,20,target,0
1,48,21,target,0
1,48,22,target,1
1,49,1,target,0
1,49,2,target,0
1,49,3,target,0
1,49,4,target,0
1,49,5,target,0
1,49,6,target,0
1,49,7,target,0
1,49,8,target,0
1,49,9,target,0
1,49,10,target,1
1,49,11,target,1
1,49,12,target,1
1,49,13,target,1
1,49,14,target,0
1,49,15,target,0
1,49,16,target,0
1,49,17,target,0
1,49,18,target,0
1,49,19,target,0
1,49,20,target,0
1,49,21,target,0
1,49,22,target,0
1,50,1,target,0
1,50,2,target,0
1,50,3,target,0
1,50,4,target,0
1,50,5,target,0
1,50,6,target,0
1,50,7,target,0
1,50,8,target,0
1,50,9,target,0
1,50,10,target,0
1,50,11,target,0
1,50,12,target,0
1,50,13,target,1
1,50,14,target,1
1,50,15,target,1
1,50,16,target,1
1,50,17,target,1
1,50,18,target,1
1,50,19,target,1
1,50,20,target,1
1,50,21,target,1
1,50,22,target,1
1,51,1,target,1
1,51,2,target,1
1,51,3,target,1
1,51,4,target,0
1,51,5,target,1
1,51,6,target,1
1,51,7,target,1
1,51,8,target,1
1,51,9,target,1
1,51,10,target,1
1,51,11,target,1
1,51,12,target,0
1,51,13,target,1
1,51,14,target,1
1,51,15,target,1
1,51,16,target,1
1,51,17,target,1
1,51,18,target,0
1,51,19,target,0
1,51,20,target,0
1,51,21,target,0
1,51,22,target,0
1,52,1,target,0
1,52,2,target,0
1,52,3,target,1
1,52,4,target,1
1,52,5,target,1
1,52,6,target,0
1,52,7,target,0
1,52,8,target,0
1,52,9,target,0
1,52,10,target,0
1,52,11,target,0
1,52,12,target,0
1,52,13,target,1
1,52,14,target,1
1,52,15,target,1
1,52,16,target,1
1,52,17,target,1
1,52,18,target,0
1,52,19,target,0
1,52,20,target,0
1,52,21,target,0
1,52,22,target,0
