Sub,A,B,C,Item,Y
10,A2,B1,C2,47,295
10,A1,B2,C2,48,284
10,A1,B2,C3,48,408
10,A2,B1,C2,49,282
10,A2,B1,C3,49,325
10,A2,B1,C1,49,386
10,A1,B2,C2,50,313
10,A1,B2,C3,50,376
10,A2,B1,C1,51,284
10,A2,B1,C2,51,336
10,A2,B1,C3,51,379
10,A1,B2,C3,52,184
10,A1,B2,C2,52,274
10,A2,B1,C2,53,246
10,A2,B1,C1,53,304
10,A2,B1,C3,53,531
10,A1,B2,C3,54,244
10,A1,B2,C2,54,250
10,A2,B1,C2,55,256
10,A2,B1,C3,55,358
10,A1,B2,C2,56,247
10,A1,B2,C3,56,255
10,A1,B2,C1,56,391
10,A2,B1,C3,57,127
10,A2,B1,C1,57,267
10,A2,B1,C2,57,397
10,A1,B2,C2,58,315
10,A1,B2,C3,58,322
10,A2,B1,C1,59,235
10,A2,B1,C2,59,356
10,A1,B2,C2,60,222
10,A1,B2,C1,60,264
10,A1,B2,C3,60,477
